route_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_sort_order
192-0,192,Jean Monnet - Porte de Vertou,,3,FFFFFF,E53138,392
C1-0,C1,Haluchère - Batignolles - Gare de Chantenay,,3,34B4E4,FFFFFF,21
C2-0,C2,Le Cardo - Gare Sud,,3,ED7703,FFFFFF,22
C20-0,C20,Ecole Centrale - Audencia - Gare Maritime,,3,F8EA22,000000,40
C3-0,C3,Armor - Bd de Doulon,,3,F8B323,000000,23
C4-0,C4,Les Sorinières - Greneraie,,3,77AD1C,FFFFFF,24
C6-0,C6,Chantrerie Grandes Ecoles - Hermeland,,3,BEABD0,FFFFFF,26
C7-0,C7,Trianon / Clairais - Souillarderie,,3,CBD300,000000,27
C9-0,C9,Basse Goulaine / Chalonges - Pirmil,,3,F5B8C6,000000,29
E1-0,E1,Couëron Océan - Gare Maritime,,3,E53138,FFFFFF,151
E4-0,E4,Porte de Vertou - Vertou,,3,E53138,FFFFFF,154
E5-0,E5,Carquefou - Fac de Droit,,3,E53138,FFFFFF,155
E8-0,E8,La Cochère - Greneraie,,3,E53138,FFFFFF,158
LC-0,LC,Chantrerie Grandes Ecoles - Luciole Jeudi,,3,FFFFFF,242D77,195
LCE-0,LCE,Cotalard - La chapelle-sur-Erdre,,3,009534,FFFFFF,192
LCN-0,LCN,La Chapelle sur Erdre - pont Pilet,,3,E53138,FFFFFF,190
LCO-0,LCO,René Cassin - La chapelle-sur-Erdre,,3,34B4E4,FFFFFF,193
LN-0,LN,Hangar à Bananes - Luciole Samedi Nord,,3,F91AFF,FFFFFF,196
LO-0,LO,Hangar à Bananes - Luciole Samedi Ouest,,3,FFFA3E,242D77,197
LS-0,LS,Hangar à Bananes - Luciole Samedi Sud,,3,00FFC2,242D77,198
N1-0,N1,Trentemoult - Roquios - Gare Maritime,,4,2AAAB6,FFFFFF,170
N2-0,N2,Bas-Chantenay - Hangar à Bananes,,4,2AAAB6,FFFFFF,171
N3-0,N3,Port Boyer Navibus - Petit Port-Facultés,,4,2AAAB6,FFFFFF,180
NA-0,NA,Aéroport - Commerce,,3,34B4E4,FFFFFF,160
NBI-0,NBI,Basse Indre - Chabossière,,3,FFFFFF,2C4393,181
